,Full Name,Gender,Age,Use Phone for Class Notes,Buy/Access Books from Phone,Phone's Battery Lasts a Day,Run for Charger When Battery Dies,Worry About Losing Cell Phone,Take Phone to Bathroom,Use Phone in Social Gatherings,Check Phone Without Notification,Check Phone Before Sleep/After Waking Up,Keep Phone Next to While Sleeping,Check Emails/Calls/Texts During Class,Rely on Phone in Awkward Situations,On Phone While Watching TV/Eating,Panic Attack if Phone Left Elsewhere,Use Phone on Date,Phone Use for Playing Games,Live a Day Without Phone,Addicted to Phone,Target
2390,Emily Martinez,Female,35,Yes,Yes,No,Yes,No,Yes,Yes,Often,Yes,Yes,No,Yes,Yes,No,Yes,0,No,Yes, NOT Adicted
2391,Emily Martinez,Female,52,Yes,No,No,Yes,No,No,No,Never,No,No,No,No,Yes,Yes,No,4,No,No,Adicted
2392,James Lee,Male,33,Yes,Yes,Yes,No,No,Yes,No,Never,No,No,Yes,No,No,Yes,Yes,5,Yes,No, NOT Adicted
2393,James Lee,Male,47,No,Yes,No,No,Yes,Yes,Yes,Rarely,Yes,Yes,No,Yes,No,No,Yes,2,No,No, NOT Adicted
2394,Jane Smith,Male,58,No,No,Yes,Yes,No,No,No,Sometimes,No,Yes,No,No,Yes,Yes,No,2,Yes,Yes,Adicted
2395,Jane Smith,Female,18,No,No,No,No,Yes,No,No,Often,Yes,Yes,No,Yes,Yes,Yes,Yes,2,Yes,No, NOT Adicted
2396,Alex Johnson,Female,47,Yes,No,Yes,No,No,No,No,Never,No,No,Yes,No,Yes,No,Yes,5,Yes,Yes,Adicted
2397,John Doe,Female,57,No,No,Yes,Yes,No,Yes,Yes,Never,No,No,Yes,No,No,Yes,No,2,Yes,No, NOT Adicted
2398,Emily Martinez,Female,44,No,No,Yes,Yes,Yes,Yes,No,Never,Yes,No,No,No,No,No,No,2,Yes,Yes, NOT Adicted
2399,Alex Johnson,Female,24,No,Yes,Yes,No,Yes,No,Yes,Rarely,No,Yes,Yes,Yes,No,No,Yes,5,No,Yes,Maybe addicted
2400,Jane Smith,Male,32,Yes,No,Yes,Yes,No,Yes,Yes,Sometimes,Yes,No,Yes,Yes,No,Yes,No,0,Yes,Yes,Maybe addicted
2401,John Doe,Female,20,Yes,Yes,No,Yes,No,No,Yes,Sometimes,No,Yes,Yes,No,Yes,Yes,No,1,No,Yes,Adicted
2402,Jane Smith,Female,21,No,No,Yes,Yes,No,No,No,Never,Yes,No,Yes,No,Yes,Yes,No,3,No,Yes, NOT Adicted
2403,Emily Martinez,Male,51,No,Yes,No,No,No,No,Yes,Often,No,Yes,No,Yes,Yes,Yes,Yes,3,No,Yes,Maybe addicted
2404,Emily Martinez,Male,55,No,Yes,Yes,No,Yes,No,Yes,Sometimes,No,No,No,Yes,Yes,Yes,No,4,No,Yes, NOT Adicted
2405,James Lee,Male,38,No,Yes,No,No,No,Yes,Yes,Often,No,Yes,Yes,Yes,No,Yes,Yes,3,No,No,Maybe addicted
2406,Maria Garcia,Female,33,No,No,No,Yes,No,No,No,Sometimes,Yes,No,Yes,Yes,Yes,Yes,Yes,4,No,No,Maybe addicted
2407,Emily Martinez,Male,49,No,No,No,Yes,No,No,No,Often,No,Yes,Yes,No,No,No,No,4,No,No, NOT Adicted
2408,Jane Smith,Female,44,No,Yes,No,No,Yes,No,Yes,Rarely,Yes,No,No,Yes,Yes,Yes,No,0,Yes,Yes,Maybe addicted
2409,Alex Johnson,Female,46,Yes,No,No,Yes,Yes,Yes,No,Often,No,No,No,Yes,Yes,Yes,Yes,2,Yes,Yes,Adicted
2410,James Lee,Female,39,Yes,Yes,Yes,Yes,Yes,No,Yes,Never,Yes,No,Yes,Yes,No,Yes,Yes,4,No,No, NOT Adicted
2411,Alex Johnson,Female,45,Yes,No,No,No,Yes,No,Yes,Rarely,No,No,Yes,Yes,No,No,No,1,Yes,No, NOT Adicted
2412,Alex Johnson,Female,37,Yes,No,No,Yes,No,No,Yes,Sometimes,No,Yes,Yes,Yes,No,Yes,Yes,2,No,Yes,Adicted
2413,Jane Smith,Female,21,No,Yes,No,Yes,Yes,Yes,No,Never,No,Yes,Yes,No,No,Yes,No,0,No,No,Adicted
2414,Jane Smith,Male,58,No,No,No,No,No,Yes,No,Sometimes,Yes,Yes,Yes,No,No,No,Yes,3,Yes,Yes,Maybe addicted
2415,Jane Smith,Female,57,No,No,Yes,No,Yes,No,No,Rarely,No,Yes,Yes,No,Yes,No,Yes,0,No,No,Maybe addicted
2416,Alex Johnson,Male,45,No,Yes,Yes,No,No,Yes,Yes,Often,Yes,No,Yes,No,No,No,No,5,No,Yes,Maybe addicted
2417,Maria Garcia,Male,37,Yes,Yes,No,No,Yes,Yes,No,Sometimes,No,Yes,Yes,Yes,Yes,No,No,3,No,Yes,Maybe addicted
2418,John Doe,Female,44,Yes,No,Yes,No,Yes,No,No,Often,No,Yes,No,Yes,No,Yes,No,4,No,No,Adicted
2419,Jane Smith,Female,39,No,No,Yes,No,Yes,Yes,No,Never,Yes,No,Yes,Yes,No,Yes,No,3,Yes,No,Adicted
2420,Alex Johnson,Male,41,No,Yes,No,Yes,Yes,No,No,Never,No,Yes,No,Yes,No,Yes,No,4,No,Yes, NOT Adicted
2421,Alex Johnson,Male,36,Yes,Yes,Yes,Yes,No,Yes,No,Never,Yes,Yes,No,No,Yes,Yes,No,2,No,No, NOT Adicted
2422,Jane Smith,Male,21,No,Yes,Yes,Yes,Yes,Yes,Yes,Rarely,No,No,Yes,No,No,No,No,2,Yes,No,Adicted
2423,Maria Garcia,Male,24,Yes,Yes,Yes,Yes,No,Yes,No,Never,No,Yes,Yes,No,Yes,No,No,1,No,Yes,Adicted
2424,John Doe,Female,64,No,Yes,Yes,No,Yes,Yes,Yes,Often,Yes,No,Yes,Yes,Yes,Yes,No,5,Yes,No,Maybe addicted
2425,James Lee,Female,30,No,Yes,Yes,Yes,No,Yes,No,Rarely,Yes,No,No,No,Yes,No,No,5,Yes,No,Adicted
2426,Maria Garcia,Female,51,No,No,No,No,Yes,No,No,Never,Yes,Yes,No,Yes,No,Yes,Yes,4,Yes,No,Maybe addicted
2427,Emily Martinez,Male,58,Yes,No,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes,No,No,Yes,Yes,No,No,1,Yes,No,Adicted
2428,Jane Smith,Female,52,Yes,No,Yes,Yes,Yes,No,Yes,Sometimes,No,No,No,No,No,No,No,3,No,Yes,Adicted
2429,Jane Smith,Male,38,Yes,No,No,Yes,No,Yes,No,Never,No,Yes,Yes,Yes,No,No,No,0,No,Yes,Adicted
2430,Maria Garcia,Male,37,Yes,No,No,Yes,Yes,Yes,No,Never,No,No,No,No,Yes,No,No,4,Yes,No, NOT Adicted
2431,Maria Garcia,Female,29,No,Yes,Yes,Yes,Yes,No,Yes,Often,No,Yes,Yes,No,Yes,No,Yes,4,No,Yes, NOT Adicted
2432,Jane Smith,Female,60,Yes,Yes,No,Yes,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,No,No,Yes,0,Yes,No,Maybe addicted
2433,Jane Smith,Female,47,Yes,Yes,No,No,No,Yes,No,Sometimes,No,No,No,No,No,No,Yes,2,Yes,No, NOT Adicted
2434,Alex Johnson,Male,45,No,Yes,Yes,Yes,Yes,Yes,No,Rarely,No,Yes,Yes,Yes,No,Yes,Yes,5,Yes,Yes, NOT Adicted
2435,Emily Martinez,Female,57,No,No,Yes,No,No,No,Yes,Never,Yes,Yes,No,Yes,No,No,No,0,No,No,Adicted
2436,Emily Martinez,Male,62,Yes,Yes,No,Yes,Yes,No,Yes,Often,No,Yes,No,No,Yes,No,No,5,Yes,No,Maybe addicted
2437,Emily Martinez,Female,18,Yes,Yes,Yes,Yes,No,Yes,Yes,Never,Yes,No,Yes,No,No,Yes,No,2,No,No,Adicted
2438,Jane Smith,Female,48,No,Yes,No,Yes,Yes,No,No,Sometimes,Yes,Yes,No,No,Yes,Yes,No,4,Yes,Yes,Maybe addicted
2439,Emily Martinez,Male,52,Yes,Yes,Yes,Yes,No,No,Yes,Sometimes,Yes,Yes,No,Yes,Yes,No,Yes,3,No,Yes,Maybe addicted
2440,Emily Martinez,Male,19,No,No,No,No,No,Yes,No,Often,Yes,No,No,Yes,Yes,Yes,Yes,5,No,Yes, NOT Adicted
2441,Maria Garcia,Female,46,Yes,No,No,No,No,Yes,Yes,Rarely,Yes,No,Yes,No,Yes,Yes,Yes,5,Yes,No,Adicted
2442,Emily Martinez,Male,33,Yes,No,Yes,Yes,Yes,No,Yes,Never,No,Yes,Yes,Yes,No,Yes,Yes,0,Yes,Yes,Maybe addicted
2443,John Doe,Female,21,No,No,No,No,No,Yes,Yes,Never,No,Yes,No,No,Yes,Yes,Yes,1,Yes,No, NOT Adicted
2444,John Doe,Female,34,Yes,Yes,No,No,No,Yes,No,Never,Yes,No,No,Yes,No,Yes,No,0,Yes,Yes, NOT Adicted
2445,Emily Martinez,Female,37,No,No,No,No,Yes,Yes,No,Rarely,No,Yes,No,Yes,No,Yes,Yes,2,Yes,Yes, NOT Adicted
2446,James Lee,Male,49,Yes,No,Yes,No,No,Yes,No,Rarely,No,No,No,Yes,No,Yes,No,5,Yes,Yes,Maybe addicted
2447,John Doe,Male,28,No,No,No,Yes,Yes,No,No,Sometimes,No,No,No,No,No,No,Yes,0,Yes,Yes,Adicted
2448,Alex Johnson,Female,57,Yes,Yes,Yes,No,Yes,Yes,No,Sometimes,No,Yes,No,Yes,Yes,No,Yes,2,Yes,No, NOT Adicted
2449,Maria Garcia,Male,37,No,No,No,No,No,No,No,Never,No,Yes,No,No,Yes,Yes,No,0,Yes,Yes,Maybe addicted
2450,Maria Garcia,Female,18,Yes,Yes,Yes,No,No,No,No,Rarely,Yes,No,Yes,No,Yes,Yes,Yes,1,Yes,Yes,Maybe addicted
2451,Emily Martinez,Male,55,No,Yes,No,No,Yes,Yes,Yes,Often,Yes,Yes,Yes,No,Yes,No,Yes,4,No,Yes,Maybe addicted
2452,Maria Garcia,Female,26,Yes,No,Yes,Yes,Yes,No,No,Never,Yes,Yes,Yes,No,No,No,No,1,Yes,Yes, NOT Adicted
2453,Alex Johnson,Male,36,No,No,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes,No,Yes,No,No,Yes,No,2,Yes,No, NOT Adicted
2454,Maria Garcia,Male,63,No,Yes,Yes,Yes,No,Yes,No,Sometimes,No,No,No,No,No,No,Yes,3,Yes,No,Maybe addicted
2455,James Lee,Female,19,Yes,Yes,Yes,No,No,Yes,Yes,Sometimes,Yes,No,Yes,Yes,No,Yes,Yes,1,No,No,Adicted
2456,Alex Johnson,Female,47,Yes,Yes,No,No,Yes,No,Yes,Often,Yes,No,Yes,No,Yes,Yes,No,4,No,No,Maybe addicted
2457,Jane Smith,Male,64,No,No,Yes,No,No,Yes,No,Sometimes,No,Yes,Yes,No,Yes,Yes,No,1,No,Yes,Maybe addicted
2458,James Lee,Female,56,Yes,Yes,Yes,No,No,No,Yes,Never,No,Yes,No,No,Yes,No,Yes,4,Yes,No, NOT Adicted
2459,Alex Johnson,Female,55,Yes,Yes,No,Yes,No,No,Yes,Never,Yes,Yes,Yes,Yes,No,Yes,No,5,No,Yes, NOT Adicted
2460,Alex Johnson,Male,48,No,No,No,No,No,No,No,Rarely,No,No,No,Yes,No,Yes,No,5,Yes,No, NOT Adicted
2461,Emily Martinez,Male,20,No,No,Yes,No,No,Yes,No,Often,No,No,No,No,No,Yes,Yes,4,Yes,No,Maybe addicted
2462,Jane Smith,Female,52,No,No,No,No,No,No,Yes,Often,No,Yes,Yes,Yes,No,No,Yes,3,Yes,No,Maybe addicted
2463,John Doe,Male,44,Yes,No,Yes,No,No,Yes,No,Often,Yes,No,Yes,Yes,Yes,Yes,Yes,5,No,No,Adicted
2464,John Doe,Female,35,Yes,No,No,Yes,Yes,Yes,No,Sometimes,No,Yes,No,Yes,No,No,No,3,No,Yes,Adicted
2465,Emily Martinez,Female,57,No,Yes,Yes,No,No,Yes,No,Rarely,No,Yes,No,Yes,Yes,No,No,3,Yes,Yes, NOT Adicted
2466,Jane Smith,Female,41,Yes,No,No,Yes,Yes,Yes,No,Never,No,No,No,Yes,Yes,Yes,No,0,No,Yes,Adicted
2467,Emily Martinez,Male,29,Yes,Yes,No,Yes,Yes,Yes,No,Never,Yes,Yes,No,Yes,Yes,Yes,Yes,5,Yes,Yes,Maybe addicted
2468,Emily Martinez,Male,34,Yes,Yes,Yes,Yes,No,No,No,Often,No,Yes,Yes,Yes,No,Yes,No,5,Yes,Yes,Adicted
2469,John Doe,Male,21,Yes,Yes,No,No,No,Yes,No,Sometimes,No,Yes,No,No,Yes,No,Yes,2,No,No,Maybe addicted
2470,Alex Johnson,Female,52,No,Yes,Yes,No,Yes,No,No,Never,No,No,Yes,Yes,No,Yes,Yes,3,No,Yes,Maybe addicted
2471,Alex Johnson,Female,27,No,No,Yes,Yes,Yes,No,Yes,Often,No,No,No,Yes,Yes,Yes,Yes,3,No,Yes,Maybe addicted
2472,John Doe,Male,44,Yes,No,No,Yes,No,Yes,No,Sometimes,Yes,No,Yes,No,Yes,No,Yes,0,Yes,Yes,Adicted
2473,Maria Garcia,Female,23,No,No,No,No,Yes,No,Yes,Rarely,Yes,Yes,No,No,Yes,No,No,1,Yes,No,Adicted
2474,Jane Smith,Female,38,Yes,No,Yes,Yes,Yes,No,No,Rarely,Yes,No,Yes,Yes,No,No,No,1,Yes,Yes,Adicted
2475,John Doe,Male,34,Yes,No,No,Yes,Yes,No,Yes,Never,Yes,Yes,No,Yes,Yes,Yes,Yes,0,Yes,No,Adicted
2476,Alex Johnson,Male,63,Yes,Yes,Yes,Yes,No,Yes,No,Rarely,Yes,No,No,No,No,Yes,No,3,No,Yes, NOT Adicted
2477,Alex Johnson,Male,23,Yes,No,Yes,Yes,No,Yes,Yes,Sometimes,No,Yes,Yes,No,No,No,No,3,No,No, NOT Adicted
2478,Alex Johnson,Female,25,No,No,Yes,Yes,Yes,Yes,Yes,Often,No,Yes,No,No,Yes,Yes,No,1,No,Yes, NOT Adicted
2479,Alex Johnson,Female,18,Yes,No,No,Yes,No,Yes,Yes,Rarely,No,Yes,Yes,Yes,Yes,No,Yes,5,No,Yes, NOT Adicted
2480,Maria Garcia,Female,40,Yes,No,No,Yes,No,No,No,Rarely,No,Yes,No,Yes,No,Yes,Yes,3,No,No,Maybe addicted
2481,Alex Johnson,Female,39,Yes,Yes,Yes,Yes,No,No,No,Often,Yes,Yes,Yes,No,Yes,Yes,No,0,No,Yes,Adicted
2482,Maria Garcia,Male,38,Yes,Yes,No,Yes,No,No,No,Never,No,Yes,Yes,No,Yes,No,No,3,Yes,No,Adicted
2483,Maria Garcia,Male,37,No,Yes,No,Yes,Yes,Yes,Yes,Rarely,Yes,Yes,Yes,No,Yes,Yes,No,3,No,Yes,Adicted
2484,John Doe,Female,38,No,Yes,No,Yes,No,No,No,Rarely,No,No,No,Yes,No,Yes,Yes,0,Yes,Yes, NOT Adicted
2485,John Doe,Female,46,No,No,Yes,Yes,Yes,Yes,No,Sometimes,No,Yes,Yes,Yes,No,Yes,No,2,No,Yes,Maybe addicted
2486,Emily Martinez,Female,32,No,No,Yes,Yes,No,Yes,Yes,Rarely,No,Yes,Yes,No,No,Yes,Yes,2,Yes,No,Adicted
2487,Alex Johnson,Female,41,No,No,No,No,No,No,No,Rarely,Yes,No,Yes,Yes,Yes,No,Yes,2,No,No, NOT Adicted
2488,John Doe,Female,47,No,Yes,No,No,Yes,No,Yes,Often,No,No,No,Yes,No,No,Yes,2,No,Yes,Maybe addicted
2489,Alex Johnson,Male,39,No,No,No,Yes,Yes,Yes,No,Sometimes,No,Yes,No,No,No,No,No,4,Yes,Yes, NOT Adicted
2490,Jane Smith,Male,36,Yes,Yes,No,No,Yes,No,No,Often,Yes,Yes,Yes,No,Yes,No,No,5,No,Yes,Adicted
2491,John Doe,Female,31,No,No,Yes,No,No,No,No,Often,Yes,No,No,Yes,Yes,Yes,No,0,No,No,Maybe addicted
2492,Maria Garcia,Male,65,Yes,Yes,No,Yes,No,Yes,No,Rarely,Yes,Yes,Yes,No,Yes,No,Yes,3,Yes,No, NOT Adicted
2493,James Lee,Male,31,Yes,Yes,No,No,Yes,No,Yes,Often,No,No,Yes,No,No,No,Yes,1,Yes,No,Maybe addicted
2494,Jane Smith,Female,65,No,No,Yes,No,Yes,No,No,Often,Yes,Yes,Yes,Yes,No,No,No,4,No,No, NOT Adicted
2495,John Doe,Female,48,No,Yes,Yes,No,Yes,No,No,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,No,Yes,Adicted
2496,Alex Johnson,Female,42,No,No,No,Yes,Yes,No,No,Never,No,Yes,No,Yes,No,Yes,Yes,0,Yes,Yes, NOT Adicted
2497,Jane Smith,Male,43,No,Yes,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,Yes,No,Maybe addicted
2498,Emily Martinez,Female,22,Yes,No,Yes,No,Yes,No,Yes,Rarely,No,Yes,Yes,No,Yes,Yes,No,3,Yes,Yes,Adicted
2499,John Doe,Female,58,Yes,No,Yes,No,No,Yes,No,Often,No,Yes,Yes,No,No,No,No,3,Yes,Yes,Adicted
2500,John Doe,Female,59,Yes,Yes,No,No,No,Yes,Yes,Rarely,Yes,Yes,Yes,No,No,No,No,3,Yes,No,Adicted
2501,Maria Garcia,Female,45,Yes,No,Yes,No,Yes,No,No,Often,Yes,No,No,Yes,Yes,No,No,3,No,Yes,Maybe addicted
2502,Maria Garcia,Male,47,No,Yes,No,Yes,No,No,Yes,Often,Yes,Yes,No,Yes,Yes,Yes,Yes,0,Yes,No,Adicted
2503,Maria Garcia,Female,22,No,Yes,Yes,Yes,No,Yes,No,Often,No,No,No,No,No,Yes,Yes,5,No,Yes, NOT Adicted
2504,Jane Smith,Male,33,Yes,Yes,No,No,No,No,No,Never,No,No,No,No,Yes,No,No,4,No,Yes, NOT Adicted
2505,Maria Garcia,Female,33,Yes,Yes,Yes,No,Yes,No,Yes,Rarely,No,Yes,No,Yes,No,Yes,Yes,4,No,No, NOT Adicted
2506,James Lee,Female,58,Yes,No,No,No,Yes,No,Yes,Sometimes,Yes,No,Yes,Yes,No,Yes,No,3,Yes,No, NOT Adicted
2507,James Lee,Female,46,Yes,No,No,No,No,No,Yes,Often,No,No,Yes,No,No,Yes,Yes,1,No,No,Adicted
2508,John Doe,Male,18,No,No,No,Yes,No,Yes,No,Rarely,No,No,No,No,Yes,No,Yes,4,No,Yes,Adicted
2509,John Doe,Male,26,Yes,Yes,No,Yes,Yes,No,Yes,Rarely,Yes,No,Yes,No,Yes,Yes,No,3,Yes,No,Adicted
2510,James Lee,Female,28,Yes,Yes,Yes,Yes,No,No,No,Sometimes,Yes,Yes,No,No,No,Yes,No,4,Yes,Yes,Adicted
2511,James Lee,Female,25,No,Yes,No,No,No,Yes,No,Rarely,Yes,Yes,Yes,Yes,Yes,Yes,No,5,Yes,Yes, NOT Adicted
2512,Maria Garcia,Male,65,Yes,Yes,No,Yes,No,No,Yes,Never,No,No,No,Yes,No,No,No,3,Yes,No,Adicted
2513,James Lee,Male,22,Yes,Yes,Yes,No,No,Yes,No,Often,No,No,Yes,No,No,No,Yes,0,Yes,Yes,Maybe addicted
2514,Emily Martinez,Female,59,No,Yes,Yes,No,No,Yes,Yes,Often,No,Yes,No,No,Yes,No,No,0,Yes,No,Adicted
2515,Emily Martinez,Female,33,Yes,Yes,No,Yes,No,No,Yes,Sometimes,Yes,No,Yes,No,Yes,No,No,3,Yes,Yes, NOT Adicted
2516,Maria Garcia,Female,35,No,Yes,No,Yes,Yes,No,No,Never,Yes,No,No,Yes,Yes,No,No,5,No,No,Maybe addicted
2517,James Lee,Male,52,Yes,Yes,No,No,No,Yes,Yes,Often,No,Yes,No,No,No,No,Yes,5,Yes,Yes, NOT Adicted
2518,Maria Garcia,Male,49,Yes,No,Yes,No,No,No,Yes,Never,No,Yes,Yes,No,No,No,No,5,Yes,Yes,Maybe addicted
2519,Maria Garcia,Female,19,No,Yes,Yes,Yes,Yes,No,Yes,Rarely,No,Yes,No,No,Yes,No,Yes,4,Yes,No,Adicted
2520,John Doe,Female,43,Yes,No,No,No,Yes,No,No,Often,Yes,Yes,Yes,No,No,No,No,3,No,No,Maybe addicted
2521,James Lee,Male,35,No,Yes,No,No,Yes,Yes,Yes,Never,Yes,No,No,Yes,Yes,Yes,No,3,No,Yes, NOT Adicted
2522,John Doe,Female,65,Yes,No,No,Yes,Yes,Yes,No,Sometimes,Yes,No,No,Yes,No,Yes,No,4,Yes,No,Maybe addicted
2523,James Lee,Female,62,No,Yes,Yes,Yes,Yes,Yes,Yes,Rarely,No,No,Yes,Yes,Yes,No,Yes,4,Yes,Yes, NOT Adicted
2524,James Lee,Female,57,No,Yes,Yes,Yes,No,No,No,Never,Yes,Yes,No,No,Yes,No,Yes,3,Yes,No,Maybe addicted
2525,Emily Martinez,Female,62,No,No,Yes,Yes,No,No,No,Often,No,No,Yes,Yes,Yes,No,No,3,No,Yes,Adicted
2526,James Lee,Female,41,No,No,No,Yes,Yes,Yes,No,Rarely,Yes,Yes,Yes,No,Yes,Yes,Yes,5,Yes,No, NOT Adicted
2527,James Lee,Female,21,Yes,No,No,No,Yes,Yes,No,Sometimes,Yes,Yes,No,Yes,Yes,No,Yes,4,Yes,Yes,Maybe addicted
2528,Emily Martinez,Male,21,No,Yes,No,No,Yes,Yes,No,Never,Yes,No,Yes,Yes,Yes,Yes,Yes,4,Yes,No,Maybe addicted
2529,James Lee,Female,22,No,No,No,No,Yes,Yes,No,Often,Yes,Yes,No,Yes,No,No,No,5,Yes,Yes, NOT Adicted
2530,Jane Smith,Male,37,No,Yes,No,No,No,Yes,Yes,Rarely,Yes,Yes,Yes,Yes,No,Yes,Yes,3,No,No,Adicted
2531,Maria Garcia,Male,38,No,Yes,Yes,No,Yes,No,Yes,Often,Yes,Yes,Yes,Yes,Yes,Yes,No,4,No,No,Maybe addicted
2532,James Lee,Female,38,No,No,No,Yes,Yes,Yes,Yes,Often,No,Yes,Yes,Yes,Yes,Yes,No,4,Yes,No, NOT Adicted
2533,Jane Smith,Male,45,Yes,Yes,No,Yes,Yes,Yes,Yes,Sometimes,No,Yes,Yes,No,Yes,Yes,No,2,Yes,Yes,Maybe addicted
2534,James Lee,Male,56,No,No,No,No,No,No,No,Sometimes,No,No,Yes,No,Yes,Yes,Yes,4,Yes,Yes,Maybe addicted
2535,James Lee,Male,49,No,No,Yes,No,No,No,No,Sometimes,Yes,No,No,Yes,Yes,No,No,3,No,Yes,Maybe addicted
2536,James Lee,Female,61,No,Yes,Yes,Yes,No,No,Yes,Never,Yes,Yes,Yes,Yes,Yes,No,No,0,Yes,Yes, NOT Adicted
2537,Jane Smith,Female,43,No,Yes,No,Yes,Yes,Yes,Yes,Often,Yes,Yes,No,Yes,No,Yes,No,4,Yes,No, NOT Adicted
2538,Alex Johnson,Male,27,No,Yes,No,No,No,No,No,Sometimes,No,No,Yes,No,Yes,Yes,No,0,No,Yes,Maybe addicted
2539,Maria Garcia,Female,23,No,Yes,No,Yes,No,No,Yes,Never,No,Yes,No,No,No,Yes,No,1,Yes,Yes,Adicted
2540,Alex Johnson,Female,60,Yes,No,Yes,Yes,No,No,No,Rarely,No,Yes,Yes,Yes,No,Yes,No,3,No,No, NOT Adicted
2541,Maria Garcia,Male,58,Yes,No,Yes,Yes,No,No,No,Sometimes,Yes,Yes,Yes,Yes,No,Yes,Yes,5,No,No,Maybe addicted
2542,Jane Smith,Male,61,No,Yes,Yes,No,No,No,No,Never,No,Yes,No,Yes,No,Yes,No,5,No,No,Maybe addicted
2543,James Lee,Male,60,No,Yes,Yes,No,No,Yes,No,Never,No,No,No,No,No,Yes,Yes,0,Yes,No,Adicted
2544,Jane Smith,Female,20,Yes,Yes,No,No,No,No,No,Sometimes,No,No,No,Yes,Yes,No,Yes,3,Yes,No,Adicted
2545,Emily Martinez,Male,30,No,Yes,No,Yes,No,Yes,Yes,Rarely,No,No,Yes,Yes,Yes,Yes,No,2,Yes,Yes,Adicted
2546,Alex Johnson,Male,52,Yes,Yes,No,Yes,Yes,No,Yes,Never,Yes,No,Yes,Yes,Yes,No,No,1,Yes,No,Adicted
2547,Maria Garcia,Female,57,Yes,Yes,Yes,Yes,Yes,No,No,Rarely,No,Yes,No,No,No,No,No,5,No,No,Adicted
2548,Jane Smith,Male,26,Yes,No,No,Yes,Yes,No,Yes,Never,No,No,Yes,Yes,Yes,Yes,Yes,1,Yes,No,Adicted
2549,Maria Garcia,Male,48,No,Yes,No,Yes,Yes,No,No,Never,Yes,Yes,Yes,Yes,No,No,No,5,Yes,No,Adicted
2550,Maria Garcia,Female,22,No,No,Yes,Yes,Yes,Yes,Yes,Never,Yes,Yes,No,Yes,No,No,No,0,No,Yes,Maybe addicted
2551,Alex Johnson,Female,27,Yes,Yes,Yes,No,Yes,Yes,Yes,Never,Yes,Yes,No,Yes,No,Yes,No,2,Yes,No, NOT Adicted
2552,John Doe,Male,61,No,No,Yes,Yes,No,Yes,No,Often,No,Yes,No,Yes,Yes,Yes,Yes,4,Yes,No,Adicted
2553,John Doe,Female,59,No,No,No,Yes,No,No,No,Often,No,Yes,No,Yes,No,No,No,4,No,No,Adicted
2554,Emily Martinez,Male,30,No,No,No,No,Yes,No,No,Sometimes,No,Yes,Yes,Yes,No,No,No,2,Yes,Yes, NOT Adicted
2555,Maria Garcia,Male,59,No,Yes,Yes,No,Yes,Yes,Yes,Rarely,No,No,Yes,Yes,No,No,No,4,No,Yes, NOT Adicted
2556,Emily Martinez,Female,24,Yes,No,No,Yes,No,Yes,Yes,Never,Yes,Yes,No,Yes,No,No,No,4,Yes,No,Maybe addicted
2557,Emily Martinez,Male,65,No,Yes,No,No,No,Yes,Yes,Rarely,No,No,No,Yes,Yes,Yes,No,3,No,No,Maybe addicted
2558,Jane Smith,Female,27,Yes,Yes,No,Yes,Yes,Yes,No,Often,No,No,No,Yes,Yes,No,No,4,Yes,Yes,Adicted
2559,Emily Martinez,Male,54,No,Yes,Yes,No,Yes,No,Yes,Sometimes,Yes,Yes,No,No,Yes,No,No,5,Yes,Yes,Maybe addicted
2560,John Doe,Male,60,No,Yes,No,Yes,Yes,No,Yes,Rarely,No,Yes,Yes,Yes,Yes,No,No,0,Yes,No,Adicted
2561,Jane Smith,Male,58,Yes,Yes,Yes,No,Yes,Yes,Yes,Never,Yes,No,No,Yes,No,No,Yes,2,No,No,Maybe addicted
2562,James Lee,Male,60,No,No,Yes,Yes,No,No,Yes,Often,No,Yes,No,No,No,Yes,No,3,Yes,Yes,Maybe addicted
2563,Alex Johnson,Male,53,Yes,Yes,No,Yes,Yes,Yes,No,Rarely,No,No,No,No,No,No,No,5,No,No, NOT Adicted
2564,John Doe,Female,24,No,No,No,Yes,Yes,No,Yes,Rarely,No,No,No,No,Yes,Yes,No,3,No,No,Adicted
2565,John Doe,Male,61,Yes,No,No,Yes,Yes,No,No,Never,Yes,Yes,No,Yes,No,No,Yes,1,Yes,No,Maybe addicted
2566,James Lee,Male,55,No,Yes,Yes,Yes,Yes,No,No,Rarely,Yes,No,Yes,No,No,Yes,No,2,No,No, NOT Adicted
2567,Emily Martinez,Male,28,No,Yes,No,No,No,Yes,Yes,Never,No,No,Yes,Yes,No,Yes,Yes,5,Yes,Yes, NOT Adicted
2568,James Lee,Male,62,No,No,No,Yes,No,No,No,Rarely,Yes,No,No,Yes,No,No,Yes,3,Yes,No, NOT Adicted
2569,John Doe,Female,37,No,Yes,Yes,No,Yes,No,No,Sometimes,Yes,Yes,Yes,No,No,Yes,Yes,0,No,Yes, NOT Adicted
